,req_info,req_id,t,pl_num
750,676,431,[63  0  0  2],2
751,677,433,[65  0  1  2],2
752,678,0,[0 0 0 0],13
753,679,226,[570   1   1   0],1
754,679,224,[664   1   1   0],8
755,679,225,[669   1   1   0],10
756,680,0,[0 0 0 0],13
757,681,0,[0 0 0 0],13
758,682,434,[41  1  1  1],0
759,682,435,[32  0  1  1],0
760,682,436,[24  1  0  1],0
761,683,437,[68  1  1  2],2
762,683,227,[22  1  0  0],0
763,683,228,[121   1   0   0],0
764,684,0,[0 0 0 0],13
765,685,229,[744   1   0   0],0
766,686,0,[0 0 0 0],13
767,687,230,[74  1  0  0],0
768,687,231,[812   1   0   0],1
769,688,0,[0 0 0 0],13
770,689,0,[0 0 0 0],13
771,690,232,[101   0   0   0],0
772,691,233,[783   0   0   0],0
773,692,439,[73  0  1  2],2
774,692,438,[25  1  1  1],0
775,693,0,[0 0 0 0],13
776,694,0,[0 0 0 0],13
777,695,440,[113   1   1   2],2
778,695,441,[94  1  0  2],2
779,696,234,[137   0   0   0],1
780,697,0,[0 0 0 0],13
781,698,442,[70  1  1  2],2
782,699,0,[0 0 0 0],13
783,700,0,[0 0 0 0],13
784,701,443,[36  1  1  1],0
785,702,0,[0 0 0 0],13
786,703,235,[95  0  0  0],0
787,704,0,[0 0 0 0],13
788,705,0,[0 0 0 0],13
789,706,236,[1119    1    1    0],11
790,707,0,[0 0 0 0],13
791,708,237,[62  0  0  0],0
792,709,444,[47  1  0  1],5
793,710,445,[51  0  0  1],0
794,711,238,[864   1   0   0],0
795,712,239,[600   1   1   0],0
796,713,240,[466   1   1   0],0
797,714,241,[603   0   0   0],0
798,715,242,[1384    0    1    0],0
799,716,0,[0 0 0 0],13
800,717,0,[0 0 0 0],13
801,718,0,[0 0 0 0],13
802,719,243,[780   1   1   0],0
803,720,446,[448   0   0   2],0
804,721,0,[0 0 0 0],13
805,722,0,[0 0 0 0],13
806,723,244,[69  1  1  0],5
807,724,245,[42  1  0  0],10
808,725,0,[0 0 0 0],13
809,726,0,[0 0 0 0],13
810,727,0,[0 0 0 0],13
811,728,0,[0 0 0 0],13
812,729,447,[61  0  1  2],2
813,730,0,[0 0 0 0],13
814,731,0,[0 0 0 0],13
815,732,448,[36  1  0  1],0
